Skip    SntNumPen   UnionScore  Precision Recall    F1        Match   Alignments  Gold      
-0.8    0.0         0.35        0.9415    0.9066    0.9237    3010    3197        3320      
-0.8    0.0         0.4         0.9415    0.9066    0.9237    3010    3197        3320      
-0.8    0.0         0.45        0.9415    0.9066    0.9237    3010    3197        3320      
-0.8    0.0         0.5         0.9415    0.9066    0.9237    3010    3197        3320      
-0.8    0.0         0.55        0.9415    0.9066    0.9237    3010    3197        3320      
-0.8    0.0         0.6         0.9415    0.9066    0.9237    3010    3197        3320      
-0.8    0.0         0.65        0.9415    0.9066    0.9237    3010    3197        3320      
-0.8    0.0         0.7         0.9415    0.9066    0.9237    3010    3197        3320      
-0.8    0.0         0.75        0.9415    0.9066    0.9237    3010    3197        3320      
-0.8    0.0         0.8         0.9415    0.9066    0.9237    3010    3197        3320      
-0.8    0.0         0.85        0.9415    0.9066    0.9237    3010    3197        3320      
-0.8    0.0         0.9         0.9415    0.9066    0.9237    3010    3197        3320      
-0.8    0.0         0.95        0.9415    0.9066    0.9237    3010    3197        3320      
-0.8    0.0         1.0         0.9415    0.9066    0.9237    3010    3197        3320      
-0.7    0.0         0.1         0.9415    0.9066    0.9237    3010    3197        3320      
-0.7    0.0         0.15        0.9415    0.9066    0.9237    3010    3197        3320      
-0.7    0.0         0.2         0.9415    0.9066    0.9237    3010    3197        3320      
-0.7    0.0         0.25        0.9415    0.9066    0.9237    3010    3197        3320      
-0.7    0.0         0.3         0.9415    0.9066    0.9237    3010    3197        3320      
-0.7    0.0         0.35        0.9415    0.9066    0.9237    3010    3197        3320      
-0.7    0.0         0.4         0.9415    0.9066    0.9237    3010    3197        3320      
-0.7    0.0         0.45        0.9415    0.9066    0.9237    3010    3197        3320      
-0.7    0.0         0.5         0.9415    0.9066    0.9237    3010    3197        3320      
-0.7    0.0         0.55        0.9415    0.9066    0.9237    3010    3197        3320      
-0.7    0.0         0.6         0.9415    0.9066    0.9237    3010    3197        3320      
-0.7    0.0         0.65        0.9415    0.9066    0.9237    3010    3197        3320      
-0.7    0.0         0.7         0.9415    0.9066    0.9237    3010    3197        3320      
-0.7    0.0         0.75        0.9415    0.9066    0.9237    3010    3197        3320      
-0.7    0.0         0.8         0.9415    0.9066    0.9237    3010    3197        3320      
-0.7    0.0         0.85        0.9415    0.9066    0.9237    3010    3197        3320      
-0.7    0.0         0.9         0.9415    0.9066    0.9237    3010    3197        3320      
-0.7    0.0         0.95        0.9415    0.9066    0.9237    3010    3197        3320      
-0.7    0.0         1.0         0.9415    0.9066    0.9237    3010    3197        3320      
-0.6    0.0         0.1         0.9415    0.9066    0.9237    3010    3197        3320      
-0.6    0.0         0.15        0.9415    0.9066    0.9237    3010    3197        3320      
-0.6    0.0         0.2         0.9415    0.9066    0.9237    3010    3197        3320      
-0.6    0.0         0.25        0.9415    0.9066    0.9237    3010    3197        3320      
-0.6    0.0         0.3         0.9415    0.9066    0.9237    3010    3197        3320      
-0.6    0.0         0.35        0.9415    0.9066    0.9237    3010    3197        3320      
-0.6    0.0         0.4         0.9415    0.9066    0.9237    3010    3197        3320      
-0.6    0.0         0.45        0.9415    0.9066    0.9237    3010    3197        3320      
-0.6    0.0         0.5         0.9415    0.9066    0.9237    3010    3197        3320      
-0.6    0.0         0.55        0.9415    0.9066    0.9237    3010    3197        3320      
-0.6    0.0         0.6         0.9415    0.9066    0.9237    3010    3197        3320      
-0.6    0.0         0.65        0.9415    0.9066    0.9237    3010    3197        3320      
-0.6    0.0         0.7         0.9415    0.9066    0.9237    3010    3197        3320      
-0.6    0.0         0.75        0.9415    0.9066    0.9237    3010    3197        3320      
-0.6    0.0         0.8         0.9415    0.9066    0.9237    3010    3197        3320      
-0.6    0.0         0.85        0.9415    0.9066    0.9237    3010    3197        3320      
-0.6    0.0         0.9         0.9415    0.9066    0.9237    3010    3197        3320      
-0.6    0.0         0.95        0.9415    0.9066    0.9237    3010    3197        3320      
-0.6    0.0         1.0         0.9415    0.9066    0.9237    3010    3197        3320      
-0.5    0.0         0.1         0.9415    0.9066    0.9237    3010    3197        3320      
-0.5    0.0         0.15        0.9415    0.9066    0.9237    3010    3197        3320      
-0.5    0.0         0.2         0.9415    0.9066    0.9237    3010    3197        3320      
-0.5    0.0         0.25        0.9415    0.9066    0.9237    3010    3197        3320      
-0.5    0.0         0.3         0.9415    0.9066    0.9237    3010    3197        3320      
-0.5    0.0         0.35        0.9415    0.9066    0.9237    3010    3197        3320      
-0.5    0.0         0.4         0.9415    0.9066    0.9237    3010    3197        3320      
-0.5    0.0         0.45        0.9415    0.9066    0.9237    3010    3197        3320      
-0.5    0.0         0.5         0.9415    0.9066    0.9237    3010    3197        3320      
-0.5    0.0         0.55        0.9415    0.9066    0.9237    3010    3197        3320      
-0.5    0.0         0.6         0.9415    0.9066    0.9237    3010    3197        3320      
-0.5    0.0         0.65        0.9415    0.9066    0.9237    3010    3197        3320      
-0.5    0.0         0.7         0.9415    0.9066    0.9237    3010    3197        3320      
-0.5    0.0         0.75        0.9415    0.9066    0.9237    3010    3197        3320      
-0.5    0.0         0.8         0.9415    0.9066    0.9237    3010    3197        3320      
-0.5    0.0         0.85        0.9415    0.9066    0.9237    3010    3197        3320      
-0.5    0.0         0.9         0.9415    0.9066    0.9237    3010    3197        3320      
-0.5    0.0         0.95        0.9415    0.9066    0.9237    3010    3197        3320      
-0.5    0.0         1.0         0.9415    0.9066    0.9237    3010    3197        3320      
-0.4    0.0         0.1         0.9415    0.9066    0.9237    3010    3197        3320      
-0.4    0.0         0.15        0.9415    0.9066    0.9237    3010    3197        3320      
-0.4    0.0         0.2         0.9415    0.9066    0.9237    3010    3197        3320      
-0.4    0.0         0.25        0.9415    0.9066    0.9237    3010    3197        3320      
-0.4    0.0         0.3         0.9415    0.9066    0.9237    3010    3197        3320      
-0.4    0.0         0.35        0.9415    0.9066    0.9237    3010    3197        3320      
-0.4    0.0         0.4         0.9415    0.9066    0.9237    3010    3197        3320      
-0.4    0.0         0.45        0.9415    0.9066    0.9237    3010    3197        3320      
-0.4    0.0         0.5         0.9415    0.9066    0.9237    3010    3197        3320      
-0.4    0.0         0.55        0.9415    0.9066    0.9237    3010    3197        3320      
-0.4    0.0         0.6         0.9415    0.9066    0.9237    3010    3197        3320      
