Skip    SntNumPen   UnionScore  Precision Recall    F1        Match   Alignments  Gold      
-0.4    0.02        0.15        0.8952    0.8169    0.8543    6797    7593        8320      
-0.35   0.02        0.05        0.8952    0.8169    0.8543    6797    7593        8320      
-0.35   0.02        0.1         0.8952    0.8169    0.8543    6797    7593        8320      
-0.35   0.02        0.15        0.8952    0.8169    0.8543    6797    7593        8320      
-0.1    0.0         0.0         0.8952    0.8169    0.8543    6797    7593        8320      
-0.5    0.01        0.0         0.8956    0.8166    0.8543    6794    7586        8320      
-0.45   0.01        0.0         0.8956    0.8166    0.8543    6794    7586        8320      
-0.4    0.01        0.0         0.8956    0.8166    0.8543    6794    7586        8320      
-0.35   0.01        0.0         0.8956    0.8166    0.8543    6794    7586        8320      
-0.2    0.01        0.25        0.8956    0.8166    0.8543    6794    7586        8320      
-0.25   0.0         0.1         0.8960    0.8162    0.8543    6791    7579        8320      
-0.25   0.0         0.15        0.8960    0.8162    0.8543    6791    7579        8320      
-0.2    0.0         0.1         0.8960    0.8162    0.8543    6791    7579        8320      
-0.2    0.0         0.15        0.8960    0.8162    0.8543    6791    7579        8320      
-0.15   0.06        0.15        0.8919    0.8197    0.8543    6820    7647        8320      
-0.15   0.06        0.2         0.8919    0.8197    0.8543    6820    7647        8320      
-0.15   0.06        0.25        0.8919    0.8197    0.8543    6820    7647        8320      
-0.15   0.06        0.3         0.8919    0.8197    0.8543    6820    7647        8320      
-0.15   0.06        0.35        0.8919    0.8197    0.8543    6820    7647        8320      
-0.15   0.06        0.4         0.8919    0.8197    0.8543    6820    7647        8320      
-0.2    0.03        0.0         0.8944    0.8175    0.8543    6802    7605        8320      
-0.1    0.01        0.3         0.8948    0.8172    0.8543    6799    7598        8320      
-0.1    0.01        0.35        0.8948    0.8172    0.8543    6799    7598        8320      
-0.5    0.01        0.05        0.8957    0.8165    0.8543    6793    7584        8320      
-0.5    0.01        0.1         0.8957    0.8165    0.8543    6793    7584        8320      
-0.45   0.01        0.05        0.8957    0.8165    0.8543    6793    7584        8320      
-0.45   0.01        0.1         0.8957    0.8165    0.8543    6793    7584        8320      
-0.4    0.01        0.05        0.8957    0.8165    0.8543    6793    7584        8320      
-0.4    0.01        0.1         0.8957    0.8165    0.8543    6793    7584        8320      
-0.35   0.01        0.05        0.8957    0.8165    0.8543    6793    7584        8320      
-0.35   0.01        0.1         0.8957    0.8165    0.8543    6793    7584        8320      
-0.3    0.02        0.3         0.8949    0.8171    0.8542    6798    7596        8320      
-0.25   0.02        0.3         0.8949    0.8171    0.8542    6798    7596        8320      
-0.2    0.02        0.35        0.8949    0.8171    0.8542    6798    7596        8320      
-0.1    0.01        0.2         0.8949    0.8171    0.8542    6798    7596        8320      
-0.15   0.01        0.25        0.8954    0.8167    0.8542    6795    7589        8320      
-0.15   0.03        0.0         0.8942    0.8177    0.8542    6803    7608        8320      
-0.1    0.02        0.05        0.8942    0.8177    0.8542    6803    7608        8320      
-0.1    0.02        0.1         0.8942    0.8177    0.8542    6803    7608        8320      
-0.1    0.02        0.15        0.8942    0.8177    0.8542    6803    7608        8320      
-0.5    0.02        0.2         0.8950    0.8169    0.8542    6797    7594        8320      
-0.45   0.02        0.2         0.8950    0.8169    0.8542    6797    7594        8320      
-0.4    0.02        0.2         0.8950    0.8169    0.8542    6797    7594        8320      
