Skip    SntNumPen   UnionScore  Precision Recall    F1        Match   Alignments  Gold      
-0.45   0.01        0.0         0.8904    0.8068    0.8465    5945    6677        7369      
-0.5    0.01        0.0         0.8904    0.8068    0.8465    5945    6677        7369      
-0.2    0.03        0.25        0.8890    0.8078    0.8465    5953    6696        7369      
-0.2    0.03        0.3         0.8890    0.8078    0.8465    5953    6696        7369      
-0.25   0.03        0.2         0.8890    0.8078    0.8465    5953    6696        7369      
-0.35   0.01        0.05        0.8905    0.8066    0.8465    5944    6675        7369      
-0.35   0.01        0.1         0.8905    0.8066    0.8465    5944    6675        7369      
-0.4    0.01        0.05        0.8905    0.8066    0.8465    5944    6675        7369      
-0.4    0.01        0.1         0.8905    0.8066    0.8465    5944    6675        7369      
-0.45   0.01        0.05        0.8905    0.8066    0.8465    5944    6675        7369      
-0.45   0.01        0.1         0.8905    0.8066    0.8465    5944    6675        7369      
-0.5    0.01        0.05        0.8905    0.8066    0.8465    5944    6675        7369      
-0.5    0.01        0.1         0.8905    0.8066    0.8465    5944    6675        7369      
-0.2    0.03        0.05        0.8892    0.8077    0.8465    5952    6694        7369      
-0.2    0.03        0.1         0.8892    0.8077    0.8465    5952    6694        7369      
-0.2    0.03        0.15        0.8892    0.8077    0.8465    5952    6694        7369      
-0.25   0.03        0.0         0.8892    0.8077    0.8465    5952    6694        7369      
-0.2    0.02        0.35        0.8896    0.8073    0.8465    5949    6687        7369      
-0.2    0.02        0.4         0.8896    0.8073    0.8465    5949    6687        7369      
-0.2    0.02        0.45        0.8896    0.8073    0.8465    5949    6687        7369      
-0.2    0.02        0.5         0.8896    0.8073    0.8465    5949    6687        7369      
-0.25   0.02        0.3         0.8896    0.8073    0.8465    5949    6687        7369      
-0.3    0.02        0.3         0.8896    0.8073    0.8465    5949    6687        7369      
-0.15   0.0         0.1         0.8906    0.8065    0.8465    5943    6673        7369      
-0.15   0.0         0.15        0.8906    0.8065    0.8465    5943    6673        7369      
-0.15   0.03        0.2         0.8888    0.8080    0.8465    5954    6699        7369      
-0.35   0.02        0.2         0.8898    0.8072    0.8464    5948    6685        7369      
-0.4    0.02        0.2         0.8898    0.8072    0.8464    5948    6685        7369      
-0.45   0.02        0.2         0.8898    0.8072    0.8464    5948    6685        7369      
-0.5    0.02        0.2         0.8898    0.8072    0.8464    5948    6685        7369      
-0.2    0.0         0.05        0.8907    0.8064    0.8464    5942    6671        7369      
-0.25   0.0         0.05        0.8907    0.8064    0.8464    5942    6671        7369      
-0.3    0.0         0.0         0.8907    0.8064    0.8464    5942    6671        7369      
-0.1    0.02        0.0         0.8889    0.8078    0.8464    5953    6697        7369      
-0.1    0.02        0.25        0.8889    0.8078    0.8464    5953    6697        7369      
-0.15   0.03        0.0         0.8889    0.8078    0.8464    5953    6697        7369      
-0.15   0.02        0.35        0.8894    0.8074    0.8464    5950    6690        7369      
-0.15   0.02        0.4         0.8894    0.8074    0.8464    5950    6690        7369      
-0.15   0.02        0.45        0.8894    0.8074    0.8464    5950    6690        7369      
-0.15   0.02        0.5         0.8894    0.8074    0.8464    5950    6690        7369      
-0.1    0.01        0.0         0.8895    0.8073    0.8464    5949    6688        7369      
-0.1    0.0         0.0         0.8900    0.8069    0.8464    5946    6681        7369      
-0.35   0.01        0.15        0.8905    0.8065    0.8464    5943    6674        7369      
-0.4    0.01        0.15        0.8905    0.8065    0.8464    5943    6674        7369      
-0.45   0.01        0.15        0.8905    0.8065    0.8464    5943    6674        7369      
-0.5    0.01        0.15        0.8905    0.8065    0.8464    5943    6674        7369      
-0.1    0.01        0.05        0.8896    0.8072    0.8464    5948    6686        7369      
-0.1    0.01        0.1         0.8896    0.8072    0.8464    5948    6686        7369      
-0.15   0.01        0.5         0.8901    0.8068    0.8464    5945    6679        7369      
-0.2    0.01        0.5         0.8902    0.8066    0.8464    5944    6677        7369      
-0.25   0.01        0.3         0.8902    0.8066    0.8464    5944    6677        7369      
-0.25   0.01        0.35        0.8902    0.8066    0.8464    5944    6677        7369      
-0.25   0.01        0.4         0.8902    0.8066    0.8464    5944    6677        7369      
-0.25   0.01        0.45        0.8902    0.8066    0.8464    5944    6677        7369      
-0.3    0.01        0.3         0.8902    0.8066    0.8464    5944    6677        7369      
-0.3    0.01        0.35        0.8902    0.8066    0.8464    5944    6677        7369      
-0.3    0.01        0.4         0.8902    0.8066    0.8464    5944    6677        7369      
-0.3    0.01        0.45        0.8902    0.8066    0.8464    5944    6677        7369      
-0.2    0.0         0.1         0.8907    0.8062    0.8464    5941    6670        7369      
-0.2    0.0         0.15        0.8907    0.8062    0.8464    5941    6670        7369      
-0.25   0.0         0.1         0.8907    0.8062    0.8464    5941    6670        7369      
-0.25   0.0         0.15        0.8907    0.8062    0.8464    5941    6670        7369      
-0.1    0.02        0.2         0.8889    0.8077    0.8464    5952    6696        7369      
-0.25   0.01        0.2         0.8903    0.8065    0.8463    5943    6675        7369      
-0.3    0.01        0.2         0.8903    0.8065    0.8463    5943    6675        7369      
-0.1    0.0         0.15        0.8901    0.8066    0.8463    5944    6678        7369      
-0.25   0.01        0.25        0.8902    0.8065    0.8463    5943    6676        7369      
-0.3    0.01        0.25        0.8902    0.8065    0.8463    5943    6676        7369      
-0.2    0.06        0.15        0.8866    0.8095    0.8463    5965    6728        7369      
-0.2    0.06        0.2         0.8866    0.8095    0.8463    5965    6728        7369      
-0.2    0.06        0.25        0.8866    0.8095    0.8463    5965    6728        7369      
-0.2    0.06        0.3         0.8866    0.8095    0.8463    5965    6728        7369      
-0.2    0.06        0.35        0.8866    0.8095    0.8463    5965    6728        7369      
-0.2    0.06        0.4         0.8866    0.8095    0.8463    5965    6728        7369      
-0.25   0.03        0.25        0.8889    0.8076    0.8463    5951    6695        7369      
-0.25   0.03        0.3         0.8889    0.8076    0.8463    5951    6695        7369      
-0.3    0.03        0.2         0.8889    0.8076    0.8463    5951    6695        7369      
-0.35   0.03        0.2         0.8889    0.8076    0.8463    5951    6695        7369      
-0.4    0.03        0.2         0.8889    0.8076    0.8463    5951    6695        7369      
-0.45   0.03        0.2         0.8889    0.8076    0.8463    5951    6695        7369      
-0.5    0.03        0.2         0.8889    0.8076    0.8463    5951    6695        7369      
-0.2    0.06        0.0         0.8867    0.8093    0.8463    5964    6726        7369      
-0.25   0.03        0.05        0.8890    0.8074    0.8463    5950    6693        7369      
-0.25   0.03        0.1         0.8890    0.8074    0.8463    5950    6693        7369      
-0.25   0.03        0.15        0.8890    0.8074    0.8463    5950    6693        7369      
-0.3    0.03        0.0         0.8890    0.8074    0.8463    5950    6693        7369      
-0.35   0.03        0.0         0.8890    0.8074    0.8463    5950    6693        7369      
-0.4    0.03        0.0         0.8890    0.8074    0.8463    5950    6693        7369      
-0.45   0.03        0.0         0.8890    0.8074    0.8463    5950    6693        7369      
-0.5    0.03        0.0         0.8890    0.8074    0.8463    5950    6693        7369      
-0.1    0.01        0.3         0.8895    0.8070    0.8462    5947    6686        7369      
-0.1    0.01        0.35        0.8895    0.8070    0.8462    5947    6686        7369      
-0.1    0.01        0.4         0.8895    0.8070    0.8462    5947    6686        7369      
-0.1    0.01        0.45        0.8895    0.8070    0.8462    5947    6686        7369      
-0.2    0.02        0.55        0.8895    0.8070    0.8462    5947    6686        7369      
-0.25   0.02        0.35        0.8895    0.8070    0.8462    5947    6686        7369      
-0.25   0.02        0.4         0.8895    0.8070    0.8462    5947    6686        7369      
-0.25   0.02        0.45        0.8895    0.8070    0.8462    5947    6686        7369      
-0.25   0.02        0.5         0.8895    0.8070    0.8462    5947    6686        7369      
-0.3    0.02        0.35        0.8895    0.8070    0.8462    5947    6686        7369      
-0.3    0.02        0.4         0.8895    0.8070    0.8462    5947    6686        7369      
-0.3    0.02        0.45        0.8895    0.8070    0.8462    5947    6686        7369      
-0.3    0.02        0.5         0.8895    0.8070    0.8462    5947    6686        7369      
-0.35   0.02        0.3         0.8895    0.8070    0.8462    5947    6686        7369      
-0.4    0.02        0.3         0.8895    0.8070    0.8462    5947    6686        7369      
-0.45   0.02        0.3         0.8895    0.8070    0.8462    5947    6686        7369      
-0.5    0.02        0.3         0.8895    0.8070    0.8462    5947    6686        7369      
-0.15   0.03        0.25        0.8886    0.8077    0.8462    5952    6698        7369      
-0.15   0.03        0.3         0.8886    0.8077    0.8462    5952    6698        7369      
-0.1    0.01        0.2         0.8896    0.8069    0.8462    5946    6684        7369      
-0.3    0.0         0.05        0.8906    0.8061    0.8462    5940    6670        7369      
-0.35   0.0         0.0         0.8906    0.8061    0.8462    5940    6670        7369      
-0.4    0.0         0.0         0.8906    0.8061    0.8462    5940    6670        7369      
-0.45   0.0         0.0         0.8906    0.8061    0.8462    5940    6670        7369      
-0.5    0.0         0.0         0.8906    0.8061    0.8462    5940    6670        7369      
-0.1    0.02        0.05        0.8887    0.8076    0.8462    5951    6696        7369      
-0.1    0.02        0.1         0.8887    0.8076    0.8462    5951    6696        7369      
-0.1    0.02        0.15        0.8887    0.8076    0.8462    5951    6696        7369      
-0.15   0.03        0.05        0.8887    0.8076    0.8462    5951    6696        7369      
-0.15   0.03        0.1         0.8887    0.8076    0.8462    5951    6696        7369      
-0.15   0.03        0.15        0.8887    0.8076    0.8462    5951    6696        7369      
-0.15   0.02        0.55        0.8892    0.8072    0.8462    5948    6689        7369      
-0.15   0.0         0.35        0.8902    0.8064    0.8462    5942    6675        7369      
-0.15   0.0         0.4         0.8902    0.8064    0.8462    5942    6675        7369      
-0.1    0.0         0.05        0.8898    0.8066    0.8462    5944    6680        7369      
-0.15   0.06        0.15        0.8862    0.8096    0.8462    5966    6732        7369      
-0.15   0.06        0.2         0.8862    0.8096    0.8462    5966    6732        7369      
-0.15   0.06        0.25        0.8862    0.8096    0.8462    5966    6732        7369      
-0.15   0.06        0.3         0.8862    0.8096    0.8462    5966    6732        7369      
-0.15   0.06        0.35        0.8862    0.8096    0.8462    5966    6732        7369      
-0.15   0.06        0.4         0.8862    0.8096    0.8462    5966    6732        7369      
-0.1    0.01        0.25        0.8895    0.8069    0.8462    5946    6685        7369      
-0.15   0.06        0.0         0.8863    0.8095    0.8462    5965    6730        7369      
-0.1    0.02        0.3         0.8886    0.8076    0.8462    5951    6697        7369      
-0.1    0.03        0.2         0.8878    0.8083    0.8461    5956    6709        7369      
-0.25   0.01        0.5         0.8901    0.8064    0.8461    5942    6676        7369      
-0.3    0.01        0.5         0.8901    0.8064    0.8461    5942    6676        7369      
-0.35   0.01        0.3         0.8901    0.8064    0.8461    5942    6676        7369      
-0.35   0.01        0.35        0.8901    0.8064    0.8461    5942    6676        7369      
-0.35   0.01        0.4         0.8901    0.8064    0.8461    5942    6676        7369      
-0.35   0.01        0.45        0.8901    0.8064    0.8461    5942    6676        7369      
-0.4    0.01        0.3         0.8901    0.8064    0.8461    5942    6676        7369      
-0.4    0.01        0.35        0.8901    0.8064    0.8461    5942    6676        7369      
-0.4    0.01        0.4         0.8901    0.8064    0.8461    5942    6676        7369      
-0.4    0.01        0.45        0.8901    0.8064    0.8461    5942    6676        7369      
-0.45   0.01        0.3         0.8901    0.8064    0.8461    5942    6676        7369      
-0.45   0.01        0.35        0.8901    0.8064    0.8461    5942    6676        7369      
-0.45   0.01        0.4         0.8901    0.8064    0.8461    5942    6676        7369      
-0.45   0.01        0.45        0.8901    0.8064    0.8461    5942    6676        7369      
-0.5    0.01        0.3         0.8901    0.8064    0.8461    5942    6676        7369      
-0.5    0.01        0.35        0.8901    0.8064    0.8461    5942    6676        7369      
-0.5    0.01        0.4         0.8901    0.8064    0.8461    5942    6676        7369      
-0.5    0.01        0.45        0.8901    0.8064    0.8461    5942    6676        7369      
-0.3    0.0         0.1         0.8905    0.8059    0.8461    5939    6669        7369      
-0.3    0.0         0.15        0.8905    0.8059    0.8461    5939    6669        7369      
-0.35   0.01        0.2         0.8902    0.8062    0.8461    5941    6674        7369      
-0.4    0.01        0.2         0.8902    0.8062    0.8461    5941    6674        7369      
-0.45   0.01        0.2         0.8902    0.8062    0.8461    5941    6674        7369      
-0.5    0.01        0.2         0.8902    0.8062    0.8461    5941    6674        7369      
-0.1    0.0         0.1         0.8898    0.8065    0.8461    5943    6679        7369      
-0.2    0.0         0.35        0.8903    0.8061    0.8461    5940    6672        7369      
-0.2    0.0         0.4         0.8903    0.8061    0.8461    5940    6672        7369      
-0.25   0.0         0.35        0.8903    0.8061    0.8461    5940    6672        7369      
-0.25   0.0         0.4         0.8903    0.8061    0.8461    5940    6672        7369      
-0.2    0.05        0.15        0.8872    0.8087    0.8461    5959    6717        7369      
-0.25   0.06        0.15        0.8864    0.8092    0.8461    5963    6727        7369      
-0.25   0.06        0.2         0.8864    0.8092    0.8461    5963    6727        7369      
-0.25   0.06        0.25        0.8864    0.8092    0.8461    5963    6727        7369      
-0.25   0.06        0.3         0.8864    0.8092    0.8461    5963    6727        7369      
-0.25   0.06        0.35        0.8864    0.8092    0.8461    5963    6727        7369      
-0.25   0.06        0.4         0.8864    0.8092    0.8461    5963    6727        7369      
-0.35   0.01        0.25        0.8900    0.8062    0.8461    5941    6675        7369      
-0.4    0.01        0.25        0.8900    0.8062    0.8461    5941    6675        7369      
-0.45   0.01        0.25        0.8900    0.8062    0.8461    5941    6675        7369      
-0.5    0.01        0.25        0.8900    0.8062    0.8461    5941    6675        7369      
-0.15   0.05        0.15        0.8869    0.8088    0.8461    5960    6720        7369      
-0.3    0.03        0.25        0.8887    0.8073    0.8460    5949    6694        7369      
